year,category,scenario,rank,cause_code,cause,deaths,sex,population,population_adjusted,crude_rate,crude_rate_adjusted,gestation_group,data_source
2024,National,Without abortion,1,GR113-054,Heart disease,683491.0,Both,340110988.0,341234988.0,200.96116388924196,200.29921433496145,,CDC WONDER 2024 + Guttmacher 2024
2024,National,Without abortion,2,GR113-019,Cancer,619876.0,Both,340110988.0,341234988.0,182.25697547883988,181.65663598364654,,CDC WONDER 2024 + Guttmacher 2024
2024,National,Without abortion,3,GR113-112,Accidents,197449.0,Both,340110988.0,341234988.0,58.05428432673865,57.8630582863912,,CDC WONDER 2024 + Guttmacher 2024
2024,National,Without abortion,4,GR113-070,Stroke,166852.0,Both,340110988.0,341234988.0,49.0581033506627,48.896509990939144,,CDC WONDER 2024 + Guttmacher 2024
2024,National,Without abortion,5,GR113-082,Respiratory disease,145643.0,Both,340110988.0,341234988.0,42.82219779385663,42.6811449944283,,CDC WONDER 2024 + Guttmacher 2024
2024,National,Without abortion,6,GR113-052,Alzheimer's,116022.0,Both,340110988.0,341234988.0,34.1129819657576,34.00061660734509,,CDC WONDER 2024 + Guttmacher 2024
2024,National,Without abortion,7,GR113-046,Diabetes,94445.0,Both,340110988.0,341234988.0,27.76887643512417,27.677408038826314,,CDC WONDER 2024 + Guttmacher 2024
2024,National,Without abortion,8,GR113-097,Kidney disease,55081.0,Both,340110988.0,341234988.0,16.19500749561199,16.141662472196433,,CDC WONDER 2024 + Guttmacher 2024
2024,National,Without abortion,9,GR113-093,Liver disease,52274.0,Both,340110988.0,341234988.0,15.369688673510309,15.319062182451233,,CDC WONDER 2024 + Guttmacher 2024
2024,National,Without abortion,10,GR113-124,Suicide,48824.0,Both,340110988.0,341234988.0,14.35531391887874,14.308028694876976,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,1,GR113-054,Heart disease,306616.0,Both,171773106.0,172897106.0,178.50058553403582,177.340157446013,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,2,GR113-019,Cancer,294070.0,Both,171773106.0,172897106.0,171.1967646437039,170.08381852267672,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,3,GR113-070,Stroke,93596.0,Both,171773106.0,172897106.0,54.48815718567725,54.13393096354082,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,4,GR113-052,Alzheimer's,78781.0,Both,171773106.0,172897106.0,45.86340774439975,45.565250814550936,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,5,GR113-082,Respiratory disease,77763.0,Both,171773106.0,172897106.0,45.27076549457049,44.97646131798181,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,6,GR113-112,Accidents,67694.0,Both,171773106.0,172897106.0,39.40896312371507,39.152766385806366,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,7,GR113-046,Diabetes,40384.0,Both,171773106.0,172897106.0,23.51008312092814,23.35724462617668,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,8,GR113-097,Kidney disease,26430.0,Both,171773106.0,172897106.0,15.386576289771462,15.286548520945168,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,9,GR113-076,Flu/Pneumonia,23500.0,Both,171773106.0,172897106.0,13.680837790754042,13.591898987597862,,CDC WONDER 2024 + Guttmacher 2024
2024,Female,Without abortion,10,GR113-069,Hypertension,22459.0,Both,171773106.0,172897106.0,13.074805784789152,12.989806781381292,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,1,GR113-112,Accidents,16961.0,Both,67402866.0,68524618.0,25.163618413495946,24.751688509960026,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,2,GR113-019,Cancer,8931.0,Both,67402866.0,68524618.0,13.250178412294812,13.033272217584635,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,3,GR113-054,Heart disease,5031.0,Both,67402866.0,68524618.0,7.4640743021224045,7.341886969731083,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,4,GR113-124,Suicide,4538.0,Both,67402866.0,68524618.0,6.732651397939073,6.6224375012203645,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,5,GR113-093,Liver disease,2465.0,Both,67402866.0,68524618.0,3.6571145209166622,3.5972473425535916,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,6,GR113-127,Homicide,2306.0,Both,67402866.0,68524618.0,3.421219507194249,3.365213943987254,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,7,GR113-046,Diabetes,1464.0,Both,67402866.0,68524618.0,2.172014465972411,2.1364584622711797,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,8,GR113-070,Stroke,1159.0,Both,67402866.0,68524618.0,1.719511452228159,1.6913629492980171,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,9,GR113-105,Pregnancy/childbirth,975.0,Both,67402866.0,68524618.0,1.4465260275431018,1.422846311963388,,CDC WONDER 2024 + Guttmacher 2024
2024,Female 15-44,Without abortion,10,GR113-076,Flu/Pneumonia,695.0,Both,67402866.0,68524618.0,1.031113424761493,1.0142340377585177,,CDC WONDER 2024 + Guttmacher 2024
2024,National,With abortion,1,ABORT,Abortion,1124000.0,Female,340110988.0,341234988.0,,329.39177971984515,"78.6% ≤9w, 14.2% 10-13w, 6.1% 14-20w, 1.1% ≥21w",CDC WONDER 2024 + Guttmacher 2024
2024,National,With abortion,2,GR113-054,Heart disease,683491.0,Both,340110988.0,341234988.0,200.96116388924196,200.29921433496145,,CDC WONDER 2024 + Guttmacher 2024
